img_path,labels
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle_10.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle_38.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle_6.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/IMG_1563_RESIZED.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle19.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle25.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle31.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/IMG_1582_RESIZED.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle24.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle18.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle_7.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle_39.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle_11.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle_13.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/IMG_1534_RESIZED.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle_5.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/IMG_1597_RESIZED.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle32.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle26.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle27.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle33.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/IMG_1576_RESIZED.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle_4.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/IMG_1603_RESIZED.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/IMG_1528_RESIZED.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle_12.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle_16.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/IMG_1592_RESIZED.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle37.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle23.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle22.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle36.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle_1.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle_17.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle_29.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle_15.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/IMG_1566_RESIZED.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle_3.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle20.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle34.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle35.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle21.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle_2.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/IMG_1621_RESIZED.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle_14.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle_28.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/IMG_1622_RESIZED.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle6.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/IMG_1584_RESIZED.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/IMG_1527_RESIZED.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle46.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle52.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle53.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle47.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/IMG_1610_RESIZED.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/IMG_1565_RESIZED.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/IMG_1598_RESIZED.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle7.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/IMG_1570_RESIZED.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle5.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle79.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle51.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle50.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle78.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle4.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/IMG_1647_RESIZED.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/IMG_1591_RESIZED.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle0.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle54.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle40.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/IMG_1575_RESIZED.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/IMG_1569_RESIZED.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle69.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle41.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle55.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/IMG_1519_RESIZED.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle1.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/IMG_1537_RESIZED.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/IMG_1609_RESIZED.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/IMG_1581_RESIZED.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle43.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle57.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle56.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle42.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/IMG_1560_RESIZED.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle2.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/IMG_1525_RESIZED.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/IMG_1586_RESIZED.jpg,circle
/Users/ongcj/Dev/mdp/ir/cnn/cnn_data/circle/circle67.jpg,circle
